type	subject	severity	instantiates	predicate	object	object_str	source	info
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000218	ERROR		IAO:0000231				Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000237	ERROR		IAO:0000231				Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000238	ERROR		IAO:0000231				Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000557	ERROR		IAO:0000231				Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000561	ERROR		IAO:0000231				Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000601	ERROR		IAO:0000231				Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000606	ERROR		IAO:0000231				Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000651	ERROR		IAO:0000231				Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000769	ERROR		IAO:0000231				Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000770	ERROR		IAO:0000231				Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000772	ERROR		IAO:0000231				Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000773	ERROR		IAO:0000231				Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000776	ERROR		IAO:0000231				Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000778	ERROR		IAO:0000231				Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000779	ERROR		IAO:0000231				Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000780	ERROR		IAO:0000231				Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000781	ERROR		IAO:0000231				Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000782	ERROR		IAO:0000231				Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000783	ERROR		IAO:0000231				Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000784	ERROR		IAO:0000231				Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000785	ERROR		IAO:0000231				Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000786	ERROR		IAO:0000231				Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000787	ERROR		IAO:0000231				Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000788	ERROR		IAO:0000231				Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000789	ERROR		IAO:0000231				Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000790	ERROR		IAO:0000231				Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000791	ERROR		IAO:0000231				Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000793	ERROR		IAO:0000231				Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000794	ERROR		IAO:0000231				Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000795	ERROR		IAO:0000231				Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000796	ERROR		IAO:0000231				Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000797	ERROR		IAO:0000231				Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000798	ERROR		IAO:0000231				Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000799	ERROR		IAO:0000231				Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000800	ERROR		IAO:0000231				Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000801	ERROR		IAO:0000231				Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000802	ERROR		IAO:0000231				Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000803	ERROR		IAO:0000231				Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000804	ERROR		IAO:0000231				Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000805	ERROR		IAO:0000231				Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000806	ERROR		IAO:0000231				Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000839	ERROR		IAO:0000231				Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000865	ERROR		IAO:0000231				Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000881	ERROR		IAO:0000231				Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000882	ERROR		IAO:0000231				Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000883	ERROR		IAO:0000231				Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000991	ERROR		IAO:0000231				Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
