type	subject	severity	instantiates	predicate	object	object_str	source	info
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/10432>	ERROR	None	rdfs:label	None	None	None	Missing slot (label) for <http://identifiers.org/hgnc/10432>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/1044>	ERROR	None	rdfs:label	None	None	None	Missing slot (label) for <http://identifiers.org/hgnc/1044>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/10440>	ERROR	None	rdfs:label	None	None	None	Missing slot (label) for <http://identifiers.org/hgnc/10440>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/10457>	ERROR	None	rdfs:label	None	None	None	Missing slot (label) for <http://identifiers.org/hgnc/10457>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/10468>	ERROR	None	rdfs:label	None	None	None	Missing slot (label) for <http://identifiers.org/hgnc/10468>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/10471>	ERROR	None	rdfs:label	None	None	None	Missing slot (label) for <http://identifiers.org/hgnc/10471>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/10472>	ERROR	None	rdfs:label	None	None	None	Missing slot (label) for <http://identifiers.org/hgnc/10472>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/10006>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/10006>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/10012>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/10012>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/10013>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/10013>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/10023>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/10023>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/10024>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/10024>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/10031>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/10031>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/10050>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/10050>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/10057>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/10057>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/1012>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/1012>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/1014>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/1014>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/1020>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/1020>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/10250>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/10250>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/10254>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/10254>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/10257>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/10257>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/10260>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/10260>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/10263>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/10263>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/10274>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/10274>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/10288>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/10288>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/10294>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/10294>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/10295>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/10295>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/10297>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/10297>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/10298>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/10298>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/103>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/103>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/10301>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/10301>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/10306>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/10306>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/10313>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/10313>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/10327>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/10327>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/1033>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/1033>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/10345>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/10345>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/10360>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/10360>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/1037>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/1037>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/10379>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/10379>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/10383>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/10383>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/10387>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/10387>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/10397>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/10397>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/1040>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/1040>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/10402>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/10402>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/1041>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/1041>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/10411>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/10411>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/10414>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/10414>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/10418>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/10418>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/10419>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/10419>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/10432>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/10432>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/1044>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/1044>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/10440>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/10440>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/10457>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/10457>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/10468>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/10468>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/10471>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/10471>
http://www.w3.org/ns/shacl#MinCountConstraintComponent	<http://identifiers.org/hgnc/10472>	WARNING	None	IAO:0000115	None	None	None	Missing slot (definition) for <http://identifiers.org/hgnc/10472>
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000218	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000237	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000238	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000557	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000561	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000601	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000606	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000651	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000769	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000770	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000772	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000773	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000776	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000778	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000779	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000780	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000781	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000782	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000783	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000784	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000785	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000786	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000787	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000788	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000789	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000790	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000791	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000793	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000794	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000795	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000796	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000797	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000798	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000799	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000800	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000801	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000802	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000803	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000804	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000805	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000806	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000839	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000865	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000881	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000882	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000883	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0000991	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0001153	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	MONDO:0001306	ERROR	None	IAO:0000231	None	None	None	Incorrect object type for has_obsolescence_reason range = string should_be_iri = False
https://w3id.org/linkml/validation-model/DeprecatedPropertyComponent	MONDO:0000371	WARNING	None	oio:hasAlternativeId	None	None	None	Deprecated slot (has_alternative_id) for MONDO:0000371
